"Site","Activity","Square","depth","soil_volume_cm3","soil_dens_g.cm3","soil_g","charcoal_wood_g","charcoal_endo_g","ceramics_g","slag_g","lithics_g","NA.","NA..1","ceramics","slag","stone","botanics","charcoal","bone","burnt.clay","soil.sample","coin","X.modern..materials","stone.numbers","stones.weight","comments"
"MUK 2018/1030/10",111,"2b",200,112500,1.3,146250,"0.7","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",112,"1a",220,112500,1.3,146250,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,"0",NA
"MUK 2018/1030/10",113,"1b",220,112500,1.3,146250,"0.3","0",0,0,0.9,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,7,"0.9",NA
"MUK 2018/1030/10",114,"1c",220,112500,1.3,146250,"0.4","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,2,"0",NA
"MUK 2018/1030/10",115,"1d",220,112500,1.3,146250,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,"1",NA,NA,NA,2,"0",NA
"MUK 2018/1030/10",116,"2a",220,112500,1.3,146250,"0","0",0,0,1.2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,"1.2",NA
"MUK 2018/1030/10",117,"2b",220,112500,1.3,146250,"0.1","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,3,"0","2x Kortex"
"MUK 2018/1030/10",118,"1a",240,112500,1.3,146250,"0.4","0",0,0,0.4,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,4,"0.4",NA
"MUK 2018/1030/10",119,"1b",240,112500,1.3,146250,"0.1","0.1",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"0",NA
"MUK 2018/1030/10",120,"1c",240,112500,1.3,146250,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,"1",NA,NA,NA,1,"0",NA
"MUK 2018/1030/10",121,"1d",240,112500,1.3,146250,"0.2","0",0,0,0.5,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,4,"0.5",NA
"MUK 2018/1030/10",122,"2a",240,112500,1.3,146250,"0.1","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,7,"0",NA
"MUK 2018/1030/10",123,"2b",240,112500,1.3,146250,"0.2","0.1",0,0,8.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,5,"8.1",NA
"MUK 2018/1030/10",124,"1a",260,112500,1.3,146250,"0.1","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,5,"0","3x Kortex"
"MUK 2018/1030/10",125,"1b",260,112500,1.3,146250,"0.1","0.1",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,5,"0",NA
"MUK 2018/1030/10",126,"1c",260,112500,1.3,146250,"0.2","0",0,0,1.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,9,"1.1",NA
